"","Paper         ","DOI","TC","TCperYear","NTC"
"71","EECKMAN F, 2002, INT J PHARMACEUT                                                                  ","10.1016/S0378-5173(02)00198-9                  ","  69","  3.00"," 0.565"
"72","MEYNET G, 2020, INT WORK QUAL MULTIM                                                               ","10.1109/qomex48832.2020.9123147                ","  69"," 13.80"," 5.234"
"73","PERETTO N, 2007, ASTRON ASTROPHYS                                                                  ","10.1051/0004-6361:20065653                     ","  68","  3.78"," 0.626"
"74","RENTE PD, 2019, IEEE T MULTIMEDIA                                                                  ","10.1109/TMM.2018.2859591                       ","  67"," 11.17"," 3.102"
"75","CARPENTER JM, 1995, ASTROPHYS J                                                                    ","10.1086/176132                                 ","  66","  2.20"," 0.857"
"76","DO LD, 2011, INT J GREEN ENERGY                                                                    ","10.1080/15435075.2011.600374                   ","  64","  4.57"," 2.305"
"77","SANI S, 2018, IND CROP PROD                                                                        ","10.1016/j.indcrop.2018.06.002                  ","  63","  9.00"," 2.895"
"78","CAO C, 2019, PROCEEDINGS WEB3D 2019: THE 24TH INTERNATIONAL ACM CONFERENCE ON 3D WEB TECHNOLOGY    ","10.1145/3329714.3338130                        ","  62"," 10.33"," 2.871"
"79","GUO MH, 2023, IEEE T PATTERN ANAL                                                                  ","10.1109/TPAMI.2022.3211006                     ","  61"," 30.50","37.402"
"80","KJONIKSEN AL, 2005, MACROMOLECULES                                                                 ","10.1021/ma048581q                              ","  60","  3.00"," 0.727"
"81","HUANG TX, 2019, PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA (MM'19)         ","10.1145/3343031.3351061                        ","  60"," 10.00"," 2.778"
"82","TRAVELLETTI J, 2014, INT J APPL EARTH OBS                                                          ","10.1016/j.jag.2014.03.022                      ","  59","  5.36"," 2.479"
"83","LIU Q, 2021, IEEE T IMAGE PROCESS                                                                  ","10.1109/TIP.2021.3096060                       ","  59"," 14.75"," 7.464"
"84","ALI OM, 2016, ENERG CONVERS MANAGE                                                                 ","10.1016/j.enconman.2015.11.035                 ","  58","  6.44"," 1.449"
"85","SÜSSMUTH J, 2008, COMPUT GRAPH FORUM                                                               ","10.1111/j.1467-8659.2008.01287.x               ","  57","  3.35"," 1.973"
"86","BROWN F, 2017, SPORTS MED                                                                          ","10.1007/s40279-017-0728-9                      ","  57","  7.12"," 3.169"
"87","AL-MANASIR N, 2009, J PHYS CHEM B                                                                  ","10.1021/jp901121g                              ","  56","  3.50"," 1.374"
"88","YAMAGUCHI R, 1999, PUBL ASTRON SOC JPN                                                             ","10.1093/pasj/51.6.791                          ","  56","  2.15"," 1.164"
"89","LIU H, 2020, IEEE T BROADCAST                                                                      ","10.1109/TBC.2019.2957652                       ","  56"," 11.20"," 4.248"
"90","PLANAT L, 2020, PHYS REV X                                                                         ","10.1103/PhysRevX.10.021021                     ","  55"," 11.00"," 4.172"
"91","ALEXIOU E, 2019, APSIPA TRANS SIGNAL                                                               ","10.1017/ATSIP.2019.20                          ","  55","  9.17"," 2.547"
"92","TURKAN Y, 2018, AUTOMAT CONSTR                                                                     ","10.1016/j.autcon.2018.06.017                   ","  54","  7.71"," 2.481"
"93","POSE-VILARNOVO B, 2004, J CONTROL RELEASE                                                          ","10.1016/j.jconrel.2003.10.002                  ","  54","  2.57"," 2.842"
"94","KARMAKAR R, 2018, PETROL SCI                                                                       ","10.1007/s12182-017-0209-7                      ","  54","  7.71"," 2.481"
"95","HUANG CQ, 2022, IEEE T NEUR NET LEAR                                                               ","10.1109/TNNLS.2022.3162301                     ","  54"," 18.00","12.340"
"96","HUANG LL, 2020, PROC CVPR IEEE                                                                     ","10.1109/CVPR42600.2020.00139                   ","  54"," 10.80"," 4.096"
"97","JANG ES, 2019, IEEE SIGNAL PROC MAG                                                                ","10.1109/MSP.2019.2900721                       ","  54","  9.00"," 2.500"
"98","WANG CS, 2022, IEEE T GEOSCI REMOTE                                                                ","10.1109/TGRS.2022.3170493                      ","  53"," 17.67","12.111"
"99","KORACIN D, 2001, MON WEATHER REV                                                                   ","10.1175/1520-0493(2001)129<2040:MABLDA>2.0.CO;2","  53","  2.21"," 0.411"
"100","JI RR, 2014, IEEE T IMAGE PROCESS                                                                  ","10.1109/TIP.2014.2324291                       ","  52","  4.73"," 2.185"
