"","Paper         ","DOI","TC","TCperYear","NTC"
"90","INOUE T, 2003, J COLLOID INTERF SCI                                                                          ","10.1016/S0021-9797(02)00162-5            ","  95","  4.32","  2.24"
"91","WEISS M, 2017, REMOTE SENS-BASEL                                                                             ","10.3390/rs9020111                        ","  93"," 11.62","  4.57"
"92","OCHMANN S, 2019, ISPRS J PHOTOGRAMM                                                                          ","10.1016/j.isprsjprs.2019.03.017          ","  93"," 15.50","  5.23"
"93","MORTADA WI, 2020, MICROCHEM J                                                                                ","10.1016/j.microc.2020.105055             ","  93"," 18.60","  8.66"
"94","BUCKSCH A, 2008, ISPRS J PHOTOGRAMM                                                                          ","10.1016/j.isprsjprs.2007.10.004          ","  92","  5.41","  2.01"
"95","LI JL, 2009, COLLOID SURFACE A                                                                               ","10.1016/j.colsurfa.2009.06.020           ","  92","  5.75","  4.44"
"96","LIN YB, 2018, ISPRS J PHOTOGRAMM                                                                             ","10.1016/j.isprsjprs.2018.05.004          ","  91"," 13.00","  5.79"
"97","OUYANG D, 2005, COMPUT AIDED DESIGN                                                                          ","10.1016/j.cad.2004.11.005                ","  91","  4.55","  1.19"
"98","MEJÍA JD, 2013, IND CROP PROD                                                                                ","10.1016/j.indcrop.2012.08.026            ","  89","  7.42","  4.46"
"99","LIN YB, 2015, ISPRS J PHOTOGRAMM                                                                             ","10.1016/j.isprsjprs.2014.12.027          ","  89","  8.90","  5.09"
"100","RETHAGE D, 2018, LECT NOTES COMPUT SC                                                                        ","10.1007/978-3-030-01225-0_37             ","  88"," 12.57","  5.60"
